type of mail,date_created,type of action,email domain,email company,design type
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,send,hotmail,QuickMail,type 2
confirm,2025-01-01,unsubscribe,hotmail,QuickMail,type 2
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,open,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,receive,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,send,gmail,EveryMail,type 1
confirm,2025-01-01,unsubscribe,gmail,EveryMail,type 1
confirm,2025-01-01,unsubscribe,gmail,EveryMail,type 1
confirm,2025-01-01,unsubscribe,gmail,EveryMail,type 1
confirm,2025-01-01,unsubscribe,gmail,EveryMail,type 1
confirm,2025-01-01,unsubscribe,gmail,EveryMail,type 1
confirm,2025-01-01,unsubscribe,gmail,EveryMail,type 1
confirm,2025-01-01,click,gmail,JustSends,type 1
confirm,2025-01-01,click,gmail,JustSends,type 1
confirm,2025-01-01,click,gmail,JustSends,type 1
confirm,2025-01-01,click,gmail,JustSends,type 1
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,click,hotmail,JustSends,type 2
confirm,2025-01-01,open,gmail,JustSends,type 1
confirm,2025-01-01,open,gmail,JustSends,type 1
confirm,2025-01-01,open,gmail,JustSends,type 1
confirm,2025-01-01,open,gmail,JustSends,type 1
confirm,2025-01-01,open,gmail,JustSends,type 1
confirm,2025-01-01,open,gmail,JustSends,type 1
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,open,hotmail,JustSends,type 2
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
confirm,2025-01-01,receive,gmail,JustSends,type 1
